"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.064,5.836444731983019e-6,7.481829812859839e-7,8.274538315715303e-7,0.000016925689722750757,2.917913627015337e-7,4.1372691578576517e-7
0.065,6.323824634720664e-6,7.957970644791727e-7,8.80414736998413e-7,0.000018339091440689925,3.103608551468774e-7,4.402073684992065e-7
0.066,6.8485386749231525e-6,8.456164781966952e-7,9.358745418895372e-7,0.000019860762157277143,3.2979042649671113e-7,4.679372709447686e-7
0.067,7.4134435880468945e-6,8.977031163961527e-7,9.939097858979127e-7,0.000021498986405335993,3.501042153944996e-7,4.969548929489563e-7
0.068,8.021637851596208e-6,9.521189635663824e-7,1.054598011247536e-6,0.000023262749769629,3.7132639579088914e-7,5.27299005623768e-7
0.069,8.676485468233089e-6,1.0089259909929111e-6,1.1180177397070752e-6,0.000025161807857875958,3.9348113648723537e-7,5.590088698535376e-7
0.07,9.381642458351894e-6,1.0681860423483232e-6,1.1842484470255572e-6,0.000027206763129220494,4.165925565158461e-7,5.921242235127786e-7
0.07100000000000001,0.000010141086415473711,1.1299607074361308e-6,1.2533705345443764e-6,0.000029409150604873762,4.40684675900091e-7,6.266852672721882e-7
0.07200000000000001,0.000010959149530045572,1.1943111827717945e-6,1.3254652976638094e-6,0.000031781533637132156,4.6578136128099984e-7,6.627326488319047e-7
0.07300000000000001,0.000011840555548126906,1.2612981175191234e-6,1.400614890800911e-6,0.00003433761108956803,4.919062658324581e-7,7.003074454004555e-7
0.074,0.000012790461202611603,1.330981443111343e-6,1.478902288428232e-6,0.00003709233748757365,5.190827628134238e-7,7.39451144214116e-7
0.075,0.000013814502737998257,1.4034201846696093e-6,1.5604112417283574e-6,0.00004006205794019494,5.473338720211476e-7,7.802056208641787e-7
0.076,0.000014918848247612022,1.478672252083371e-6,1.6452262303365154e-6,0.00004326465991807486,5.766821783125147e-7,8.226131151682577e-7
0.077,0.00001611025665742387,1.5567942083313417e-6,1.7334324085711463e-6,0.00004671974430652922,6.071497412492233e-7,8.667162042855732e-7
0.078,0.000017396144326633683,1.637841012292607e-6,1.8251155454685334e-6,0.000050448818547237684,6.387579947941168e-7,9.125577727342667e-7
0.079,0.000018784660396165,1.721865732917115e-6,1.920361957840518e-6,0.0000544755151488785,6.715276358376749e-7,9.60180978920259e-7
0.08,0.000020284772207272346,1.808919231184547e-6,2.0192584354613682e-6,0.0000588258394010898,7.054785001619733e-7,1.0096292177306841e-6
0.081,0.000021906362339858648,1.8990498057696212e-6,2.12189215735834e-6,0.00006352845078559008,7.406294242501523e-7,1.06094607867917e-6
0.082,0.00002366033909156519,1.9923027977374166e-6,2.2283505980266556e-6,0.00006861498336553905,7.769980911175925e-7,1.1141752990133278e-6
0.083,0.000025558762543769574,2.088720148898989e-6,2.3387214222094155e-6,0.00007412041137693176,8.146008580706057e-7,1.1693607111047077e-6
0.084,0.000027614988751149078,2.1883399076467163e-6,2.453092366671275e-6,0.00008008346737833232,8.534525639822194e-7,1.2265461833356376e-6
0.085,0.000029843835062171462,2.2911956751379464e-6,2.5715511071450475e-6,0.00008654712168029724,8.935663133037992e-7,1.2857755535725237e-6
