"ma GeV","Br_Kplus","Br_K0star","Br_K1","Br_K2star","Br_Kstar892","Br_Kstar1410","Br_Kstar1680","Br_Piplus","Br_Total","P_B->a,FNAL (DUNE)","P_B->a,SPS (SHiP)","P_B->a,LHC"
0.001,147847.79728835096,279420.6735115506,320140.47051149776,105389.09148099458,163097.83328782438,92257.00852075903,58050.97584753595,36062.56837265498,1.202266418821168e6,0.0003756703037913005,0.5232263454709724,12603.599321786069
0.002,147847.80902200585,279420.7051978548,320140.44292728,105389.0577957823,163097.83365715411,92256.97585550036,58050.95002873212,36062.56448233405,1.2022663389666434e6,0.0003756702788392823,0.5232263107182833,12603.598484655118
0.003,147847.82075566077,279420.73688415886,320140.4153430622,105389.02411057003,163097.8340264839,92256.9431902417,58050.92420992829,36062.557998465825,1.2022662565185714e6,0.0003756702530768625,0.5232262748368823,12603.59762033549
0.004,147847.83248931568,279420.76857046306,320140.38775884436,105388.99042535776,163097.83439581364,92256.91052498305,58050.89839112447,36062.548921050315,1.2022661714769523e6,0.00037567022650404104,0.5232262378267697,12603.596728827188
0.005,147847.8442229706,279420.80025676714,320140.3601746265,105388.95674014546,163097.83476514337,92256.87785972438,58050.872572320644,36062.53725008751,1.2022660838417856e6,0.0003756701991208178,0.5232261996879451,12603.595810130208
0.006,147847.87942396165,279420.8953158742,320140.27742112684,105388.85568403998,163097.83587300123,92256.77986391241,58050.79511589616,36062.52298557738,1.2022658416833899e6,0.0003756701234539634,0.5232260943006113,12603.593271535314
0.007,147847.91462495268,279420.9903749812,320140.19466762716,105388.75462793454,163097.8369808591,92256.68186810044,58050.717659471695,36062.50612751995,1.2022655969314468e6,0.00037567004697670734,0.5232259877845656,12603.590705751745
0.008,147847.94982594374,279421.08543408825,320140.1119141275,105388.65357182905,163097.838088717,92256.58387228848,58050.640203047216,36062.486675915185,1.202265349585956e6,0.0003756699696890494,0.5232258801398081,12603.588112779495
0.009000000000000001,147847.9850269348,279421.1804931953,320140.0291606278,105388.55251572361,163097.83919657487,92256.48587647652,58050.56274662275,36062.4646307631,1.2022650996469185e6,0.0003756698915909901,0.523225771366339,12603.585492618578
0.010000000000000002,147848.02022792585,279421.27555230225,320139.94640712807,105388.45145961813,163097.84030443276,92256.38788066455,58050.48529019827,36062.43999206365,1.2022648471143334e6,0.00037566981268252894,0.5232256614641579,12603.582845268982
