"ma GeV","Br_Kplus","Br_K0star","Br_K1","Br_K2star","Br_Kstar892","Br_Kstar1410","Br_Kstar1680","Br_Piplus","Br_Total","P_B->a,FNAL (DUNE)","P_B->a,SPS (SHiP)","P_B->a,LHC"
0.023,0.09123120756667635,0.17242040737420683,0.19754294473681244,0.06502881756923623,0.10064059763205442,0.05692564756039563,0.0358190415563327,0.0222522186907663,0.7418608826864809,2.3180810742678435e-10,3.228578561451565e-7,0.007777076005378918
0.024,0.0912312727301132,0.1724205833479617,0.1975427915319653,0.06502863048945677,0.10064059968069461,0.05692546615294536,0.03581889817115168,0.022252181082183495,0.7418604231864723,2.3180796384753674e-10,3.228576561707528e-7,0.007777071188348427
0.025,0.09123133789355001,0.17242075932171658,0.1975426383271182,0.0650284434096773,0.10064060172933482,0.05692528474549509,0.03581875478597066,0.02225214187323528,0.741859962086098,2.3180781976822537e-10,3.228574554998699e-7,0.007777066354540983
0.026000000000000002,0.0912314175380485,0.17242097440295323,0.19754245106717527,0.0650282147513119,0.1006406042317397,0.05692506302487039,0.03581857953726867,0.02225210106392162,0.7418594056172894,2.3180764588928883e-10,3.2285721332464435e-7,0.007777060520967169
0.027000000000000003,0.09123149718254704,0.1724211894841899,0.19754226380723236,0.0650279860929465,0.10064060673414459,0.05692484130424569,0.03581840428856668,0.02225205865424251,0.7418588475481153,2.3180747151028854e-10,3.228569704529398e-7,0.007777054670616403
0.028,0.09123157682704555,0.1724214045654266,0.19754207654728947,0.06502775743458108,0.10064060923654947,0.05692461958362099,0.035818229039864695,0.0222520146441979,0.7418582878785758,2.3180729663122462e-10,3.228567268847562e-7,0.007777048803488687
0.029,0.09123165647154406,0.17242161964666325,0.19754188928734653,0.06502752877621568,0.10064061173895437,0.05692439786299629,0.0358180537911627,0.022251969033787778,0.7418577266086708,2.3180712125209698e-10,3.2285648262009357e-7,0.007777042919584019
0.030000000000000002,0.09123173611604256,0.1724218347278999,0.19754170202740365,0.06502730011785027,0.10064061424135926,0.05692417614237159,0.03581787854246071,0.022251921823012118,0.7418571637384002,2.318069453729056e-10,3.228562376589518e-7,0.0077770370189023975
0.031,0.0912318302417815,0.17242208891794067,0.19754148070662003,0.06502702987771797,0.1006406171966355,0.05692391410832785,0.03581767143014934,0.022251873011870878,0.7418565054910438,2.3180673969138572e-10,3.228559511897023e-7,0.007777030118363711
0.032,0.09123192436752045,0.17242234310798146,0.1975412593858364,0.06502675963758567,0.10064062015191173,0.05692365207428411,0.03581746431783798,0.02225182260036404,0.7418558456433219,2.318065335098021e-10,3.228556640239737e-7,0.007777023201048072
