"ma GeV","|cGeff|","P_Drell-Yan,FNAL (DUNE)","P_Drell-Yan,SPS (SHiP)","P_Drell-Yan,LHC"
0.001,1.000369535808467,0,0,0
0.002,1.001605621745982,0,0,0
0.003,1.0042933979369348,0,0,0
0.004,1.0116583300227062,0,0,0
0.005,1.0089480666658912,0,0,0
0.006,0.9994817935615494,0,0,0
0.007,0.9953578809189374,0,0,0
0.008,0.9946875903235063,0,0,0
0.009000000000000001,0.9988815639796557,0,0,0
0.010000000000000002,0.9977824434761078,0,0,0
0.011,0.9892685049003921,0,0,0
0.012,0.9832274265151549,0,0,0
0.013000000000000001,0.9787844568277021,0,0,0
0.014000000000000002,0.9754470568618357,0,0,0
0.015,0.9729007117319732,0,0,0
0.016,0.9709339743874047,0,0,0
0.017,0.969399969341612,0,0,0
0.018000000000000002,0.968194131244045,0,0,0
0.019000000000000003,0.9672405091394527,0,0,0
0.02,0.9664829906811908,0,0,0
0.021,0.9658795047162614,0,0,0
0.022000000000000002,0.9653980958102314,0,0,0
0.023,0.9650142103278817,0,0,0
0.024,0.964708785901909,0,0,0
0.025,0.9644668848071734,0,0,0
0.026000000000000002,0.9642767023252765,0,0,0
0.027000000000000003,0.9641288378606999,0,0,0
0.028,0.964015752865166,0,0,0
0.029,0.9639313633442173,0,0,0
0.030000000000000002,0.9638707304989417,0,0,0
0.031,0.9638298237245255,0,0,0
0.032,0.9638053375077023,0,0,0
0.033,0.9637945488561573,0,0,0
0.034,0.9637952054776685,0,0,0
0.035,0.9638054374799756,0,0,0
0.036000000000000004,0.9638236872004201,0,0,0
0.037000000000000005,0.9638486531107521,0,0,0
0.038,0.9638792447232433,0,0,0
0.039,0.9639145461502181,0,0,0
0.04,0.963953786510991,0,0,0
0.041,0.9639963157877289,0,0,0
0.042,0.964041585040538,0,0,0
0.043000000000000003,0.9640891301275963,0,0,0
0.044000000000000004,0.9641385582570252,0,0,0
0.045,0.9641895368368977,0,0,0
0.046,0.964241784198374,0,0,0
0.047,0.964295061851794,0,0,0
0.048,0.9643491680022273,0,0,0
0.049,0.964403932103595,0,0,0
0.05,0.9644592102722617,0,0,0
0.051000000000000004,0.9645148814142533,0,0,0
0.052000000000000005,0.9645708439469258,0,0,0
0.053000000000000005,0.9646270130173142,0,0,0
0.054,0.9646833181367003,0,0,0
0.055,0.9647397011649336,0,0,0
0.056,0.9647961145894556,0,0,0
0.057,0.9648525200532572,0,0,0
0.058,0.9649088870936436,0,0,0
0.059000000000000004,0.9649651920599233,0,0,0
0.060000000000000005,0.9650214171833014,0,0,0
0.061,0.9650775497765423,0,0,0
0.062,0.9651335815444734,0,0,0
0.063,0.9651895079893793,0,0,0
0.064,0.9652453278977636,0,0,0
0.065,0.9653010428970247,0,0,0
0.066,0.9653566570722936,0,0,0
0.067,0.9654121766351537,0,0,0
0.068,0.9654676096371428,0,0,0
0.069,0.9655229657220086,0,0,0
0.07,0.9655782559115111,0,0,0
0.07100000000000001,0.9656334924203472,0,0,0
0.07200000000000001,0.9656886884963622,0,0,0
0.07300000000000001,0.9657438582827708,0,0,0
0.074,0.9657990166995518,0,0,0
0.075,0.9658541793415739,0,0,0
0.076,0.9659093623913405,0,0,0
0.077,0.9659645825445303,0,0,0
0.078,0.966019856946755,0,0,0
0.079,0.9660752031401564,0,0,0
0.08,0.96613063901867,0,0,0
0.081,0.9661861827909138,0,0,0
0.082,0.9662418529498149,0,0,0
0.083,0.9662976682481955,0,0,0
0.084,0.9663536476796502,0,0,0
0.085,0.9664098104641254,0,0,0
0.08600000000000001,0.9664661760376997,0,0,0
0.08700000000000001,0.966522764046124,0,0,0
0.08800000000000001,0.9665795943417479,0,0,0
0.089,0.9666366869835011,0,0,0
0.09,0.9666940622396565,0,0,0
0.091,0.9667517405931275,0,0,0
0.092,0.9668097427491072,0,0,0
0.093,0.9668680896448685,0,0,0
0.094,0.9669268024615907,0,0,0
0.095,0.9669859026380904,0,0,0
0.096,0.9670454118863662,0,0,0
0.097,0.967105352208888,0,0,0
0.098,0.9671657459175691,0,0,0
0.099,0.9672266156543972,0,0,0
0.1,0.9672879844136982,0,0,0
0.101,0.9673498755660342,0,0,0
