"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.019000000000000003,1.9477818175901124e-7,3.5141102408572954e-6,3.226143467369385e-6,5.648567271011326e-7,1.3705029939343453e-6,1.6130717336846924e-6
0.02,1.3354409423092354e-7,3.4746487932714487e-6,3.2175137361503348e-6,3.8727787326967827e-7,1.355113029375865e-6,1.6087568680751674e-6
0.021,8.138742692670375e-8,3.4333690458323774e-6,3.2084478114092685e-6,2.3602353808744087e-7,1.3390139278746272e-6,1.6042239057046342e-6
0.022000000000000002,4.033027445802979e-8,3.390302297064591e-6,3.1989466337167754e-6,1.1695779592828639e-7,1.3222178958551905e-6,1.5994733168583877e-6
0.023,1.2542698356671186e-8,3.345481496935495e-6,3.1890111862157884e-6,3.637382523434644e-8,1.3047377838048432e-6,1.5945055931078942e-6
0.024,3.5087512932021817e-10,3.2989412661395866e-6,3.1786424940965932e-6,1.0175378750286326e-9,1.2865870937944387e-6,1.5893212470482966e-6
0.025,6.245906297848837e-9,3.250717916650519e-6,3.1678416240344465e-6,1.8113128263761625e-8,1.2677799874937024e-6,1.5839208120172232e-6
0.026000000000000002,3.289333833318868e-8,3.200849473601315e-6,3.156609683587747e-6,9.539068116624716e-8,1.2483312947045129e-6,1.5783048417938735e-6
0.027000000000000003,8.31434449153347e-8,3.1493756985582506e-6,3.1449478205544894e-6,2.411159902544706e-7,1.2282565224377178e-6,1.5724739102772447e-6
0.028,1.6004232889992258e-7,3.0963381142594825e-6,3.1328572222846727e-6,4.6412275380977545e-7,1.2075718645611982e-6,1.5664286111423363e-6
0.029,2.6684390679047217e-7,3.0417800308955214e-6,3.1203391149460547e-6,7.738473296923692e-7,1.1862942120492534e-6,1.5601695574730274e-6
0.030000000000000002,4.0702284445714024e-7,2.9857465740152515e-6,3.1073947627404863e-6,1.1803662489257066e-6,1.1644411638659482e-6,1.5536973813702432e-6
0.031,5.842885193663047e-7,2.928284714148215e-6,3.0940254670678284e-6,1.6944367061622837e-6,1.142031038517804e-6,1.5470127335339142e-6
0.032,8.026000917560197e-7,2.869443298241772e-6,3.080232565634252e-6,2.3275402660924574e-6,1.1190828863142911e-6,1.540116282817126e-6
0.033,1.0661827750837414e-6,2.809273083020026e-6,3.0660174315014352e-6,3.09193004774285e-6,1.0956165023778102e-6,1.5330087157507176e-6
0.034,1.3795454047670811e-6,2.747826770380792e-6,3.051381472072948e-6,4.000681673824535e-6,1.071652440448509e-6,1.525690736036474e-6
0.035,1.7474994138280767e-6,2.6851590449567362e-6,3.036326128013783e-6,5.067748300101422e-6,1.0472120275331272e-6,1.5181630640068914e-6
0.036000000000000004,2.1751793346404464e-6,2.6213266139780216e-6,3.020852872098725e-6,6.308020070457294e-6,1.0223173794514285e-6,1.5104264360493625e-6
0.037000000000000005,2.6680649576845917e-6,2.5563882495856473e-6,3.004963207984871e-6,7.737388377285316e-6,9.969914173384024e-7,1.5024816039924356e-6
0.038,3.232005291168276e-6,2.490404833758e-6,2.988658668903286e-6,9.372815344388001e-6,9.7125788516562e-7,1.494329334451643e-6
0.039,3.873244479720844e-6,2.423439406027544e-6,2.9719408162643667e-6,0.000011232408991190448,9.451413683507423e-7,1.4859704081321834e-6
