"ma GeV","|cGeff|","P_Drell-Yan,FNAL (DUNE)","P_Drell-Yan,SPS (SHiP)","P_Drell-Yan,LHC"
0.34900000000000003,2.8919664504872835,0,0,0
0.35000000000000003,2.893318492912467,0,0,0
0.35100000000000003,2.8946532941467384,0,0,0
0.35200000000000004,2.895971079886672,0,0,0
0.353,2.897272072229649,0,0,0
0.354,2.89855648974517,0,0,0
0.355,2.899824547544394,0,0,0
0.356,2.9010764573479833,0,0,0
0.357,2.902312427552247,0,0,0
0.358,2.903532663293717,0,0,0
0.359,2.904737366512133,0,0,0
0.36,2.905926736011915,0,0,0
0.361,2.907100967522178,0,0,0
0.362,2.9082602537553024,0,0,0
0.363,2.9094047844641326,0,0,0
0.364,2.910534746497828,0,0,0
0.365,2.9116503238563998,0,0,0
0.366,2.912751697743985,0,0,0
0.367,2.9138390466209,0,0,0
0.368,2.9149125462544756,0,0,0
0.369,2.9159723697687534,0,0,0
0.37,2.9170186876930284,0,0,0
0.371,2.918051668009309,0,0,0
0.372,2.9190714761987113,0,0,0
0.373,2.9200782752867975,0,0,0
0.374,2.9210722258879276,0,0,0
0.375,2.92205348624861,0,0,0
0.376,2.923022212289904,0,0,0
0.377,2.923978557648895,0,0,0
0.378,2.9249226737192635,0,0,0
0.379,2.925854709690963,0,0,0
0.38,2.9267748125890662,0,0,0
0.381,2.9276831273117447,0,0,0
0.382,2.928579796667453,0,0,0
0.383,2.9294649614113295,0,0,0
0.384,2.9303387602808058,0,0,0
0.385,2.931201330030478,0,0,0
0.386,2.9320528054662405,0,0,0
0.387,2.9328933194787137,0,0,0
0.388,2.9337230030759684,0,0,0
0.389,2.934541985415573,0,0,0
0.39,2.935350393835992,0,0,0
0.391,2.9361483538873223,0,0,0
0.392,2.93693598936141,0,0,0
0.393,2.9377134223213632,0,0,0
0.394,2.9384807731304474,0,0,0
0.395,2.9392381604804227,0,0,0
0.396,2.939985701419286,0,0,0
0.397,2.940723511378481,0,0,0
0.398,2.94145170419955,0,0,0
0.399,2.9421703921602704,0,0,0
0.4,2.9428796860002606,0,0,0
0.401,2.9435796949460973,0,0,0
0.402,2.944270526735931,0,0,0
0.403,2.944952287643628,0,0,0
0.404,2.9456250825024277,0,0,0
0.405,2.9462890147281717,0,0,0
0.406,2.9469441863420545,0,0,0
0.40700000000000003,2.9475906979929496,0,0,0
0.40800000000000003,2.9482286489793195,0,0,0
0.40900000000000003,2.9488581372706903,0,0,0
0.41000000000000003,2.9494792595287214,0,0,0
0.41100000000000003,2.9500921111278933,0,0,0
0.41200000000000003,2.9506967861757856,0,0,0
0.41300000000000003,2.9512933775329824,0,0,0
0.41400000000000003,2.9518819768326092,0,0,0
0.41500000000000004,2.9524626744995053,0,0,0
0.41600000000000004,2.953035559769025,0,0,0
